"mark-twain_huck-finn" "mark-twain_innocents-abroad" "mark-twain_life-on-mississippi" "mark-twain_roughing-it" "mark-twain_sketches-new-and-old" "mark-twain_tom-sawyer" "mark-twain-and-cd-warner_gilded-age" "warner_backlog-studies" "warner_baddeck-sketches" "warner_being-a-boy" "warner_golden-house" "warner_in-the-levant" "warner_in-the-wilderness" "warner_john-smith" "warner_my-summer-in-a-garden" "warner_my-winter-on-the-nile"
"had" 0.413760916197708 0.463415257921792 0.659979967344027 0.703396280264472 0.532931939302713 0.722592299875804 0.747730216435048 0.394620895751121 0.557429136820982 0.572266635992408 0.94945935325212 0.399474895190774 0.679485733619037 0.727869404240996 0.587775519774895 0.228094286671209
"at" 0.369781990181032 0.560087977289583 0.509048997681151 0.569614232031584 0.502420568731947 0.51230665010726 0.55250692980096 0.43484923949274 0.615959196187185 0.603899465117617 0.559027469671809 0.541337888005872 0.473666403518665 0.521709861999327 0.503360950445521 0.569369535842563
"you" 1.22243463744312 0.250632976138718 0.670270715275586 0.502425914474623 0.840079736381758 1.10646945918483 0.869744770581352 0.400367801999923 0.209035926307868 0.181169839535285 0.652832532609936 0.138334062645568 0.200180444344198 0.0939638729945024 0.622166640612787 0.224629563329368
"they" 0.643528366407281 0.805605994731593 0.527572343957959 0.46556152785045 0.367153492534885 0.791746641074856 0.384189416645288 0.423355426995134 0.298224588199225 0.391096796457123 0.31690899641259 0.331719435935802 0.242472087515507 0.74750364635925 0.400187587931843 0.472934736161318
"this" 0.233357566619098 0.449093373571008 0.513165296853775 0.388859820196927 0.557341035759326 0.413514734108615 0.45301813949705 0.415692885330064 0.819420831126843 0.396848219934434 0.580577281427865 0.568863543328205 0.651291304838164 0.671771569617413 0.506487415976239 0.552623373023664
"by" 0.355421524542933 0.416357637912074 0.475432554438057 0.41977833801075 0.462755786989952 0.354239584509428 0.391698004592753 0.455921229071683 0.549067699768667 0.393972508195778 0.340994080139947 0.674025662380193 0.620277433179204 0.746101200493661 0.343911208378928 0.542806656888447
"all" 0.765592324331116 0.480806117490601 0.492583800990656 0.431075488750416 0.500386477360563 0.464322005193632 0.441129541913564 0.457836864487951 0.359541793249533 0.431356760798298 0.35113516802515 0.347246728681733 0.349610916882824 0.458599798047795 0.428325777708301 0.408837354337256
"be" 0.328495651471499 0.370323009641697 0.413688066848699 0.340103695952053 0.450551238761645 0.416337360280005 0.553132645463249 0.595762614459216 0.498899077454779 0.532006671651234 0.513392574188396 0.362068235393758 0.43701364610353 0.353416358128576 0.587775519774895 0.399598092092346
"him" 0.652503657431092 0.29411012506074 0.364978526639316 0.434643010036627 0.546153533216712 0.6125098791916 0.551255498476382 0.331404927014291 0.211823071991973 0.523379536435268 0.59832418522697 0.175034936408678 0.304499830833427 0.6465275440368 0.39080819133969 0.204418677168628
"have" 0.161555238428606 0.481829109229943 0.387618172088747 0.325833610807211 0.433261462104878 0.230044032968274 0.439878110588986 0.6321596873683 0.434794726720366 0.359463967331915 0.418319875264619 0.40018068122468 0.37498590278561 0.396892179961853 0.784742848210098 0.50931433125065
"there" 0.524156995790588 0.360604588117951 0.439071911746546 0.325833610807211 0.33257393922135 0.430450491136954 0.352277917868562 0.511474656143443 0.457091892193205 0.509000977741991 0.503251486303193 0.347246728681733 0.451110860493966 0.232806013687872 0.431452243239018 0.408259900446949
"one" 0.342856117109597 0.4439784148743 0.478862803748576 0.4138324692004 0.3651194011635 0.258270294682172 0.327249291377012 0.446343051990345 0.387413250090582 0.425605337320987 0.330852992254744 0.386064960546561 0.36370813127326 0.291708740042634 0.481475691730499 0.449836580549043
"were" 0.0080777619214303 0.526329249891307 0.430153263539194 0.477453265471151 0.28172165493674 0.390933724737496 0.356657927504583 0.277767135358798 0.390200395774687 0.471616725139472 0.424658055192871 0.501108084073232 0.372166459907522 0.542746549983171 0.206346725027357 0.280065136798827
"from" 0.146297243688127 0.452162348789034 0.388304221950851 0.394211102126243 0.315284162564582 0.251213729253698 0.322869281740991 0.339067468679361 0.473814766297834 0.301949732558808 0.321979540355192 0.529339525429471 0.366527574151348 0.401099517558622 0.253243707988119 0.424428609375541
"so" 0.86252546738828 0.371346001381039 0.377327424157188 0.331184892736527 0.37427281233473 0.5010161454217 0.312857831144371 0.398452166583656 0.270353131358176 0.31920400299074 0.332120628240395 0.202560591731011 0.234013758881245 0.297318523504993 0.31577301860247 0.235601187245198
"are" 0.0547492752452498 0.471599191836526 0.251094249530056 0.179565238072587 0.220698913795208 0.0705656542847465 0.218374766138771 0.586184437377878 0.342818919144904 0.247311209524357 0.231977385374016 0.488403935462925 0.315777602345776 0.13603724896219 0.447084570892606 1.00765703858547
"which" 0.10231831767145 0.295133116800082 0.332048133258325 0.224753841031251 0.239005736137667 0.0973806029129502 0.269057734784159 0.452089958239148 0.426433289668051 0.419853913843676 0.268738828957876 0.701551317702525 0.346791474004737 0.560978346235835 0.512740347037674 0.512779054592491
"or" 0.286311783659585 0.351909158333546 0.353315678983549 0.400156970936593 0.300028477279199 0.207463023597155 0.297840655249442 0.327573656181755 0.373477521670058 0.365215390809225 0.263668285015275 0.321838431461118 0.315777602345776 0.419331313811287 0.322025949663905 0.417499162691859
"an" 0.129244190742885 0.304340042454157 0.30872243794679 0.385886885791752 0.40681827427688 0.254036355425088 0.312232115482083 0.304586031186545 0.44873045514089 0.347961120377293 0.338458808168646 0.343717798512203 0.37498590278561 0.274879389655559 0.39080819133969 0.429048240497996
"no" 0.525952053995351 0.346794199636838 0.29843169001523 0.292536745469248 0.311215979821814 0.375409280794852 0.336009310649055 0.352476916593234 0.30658602525154 0.209926956921838 0.3498675320395 0.237144107392403 0.324235930980038 0.249635364074947 0.35329060497108 0.282374952360054
"would" 0.364396815566745 0.248586992660034 0.330676033534117 0.36448175807449 0.287823929050893 0.340126453652478 0.418603778071169 0.390789624918585 0.340031773460799 0.460113878184851 0.391699519565961 0.200443233629293 0.307319273711515 0.290306294177045 0.447084570892606 0.18940487602065
"out" 0.729691160235871 0.283880207667323 0.374583224708772 0.346049564762403 0.300028477279199 0.389522411651801 0.262174862498983 0.224129343703306 0.328883190724379 0.330706849945361 0.202821757704058 0.157390285561029 0.310138716589602 0.165488612139571 0.284508363295295 0.2188550244263
"up" 0.744051625873969 0.273138794404235 0.364978526639316 0.357941302383104 0.335625076278426 0.416337360280005 0.264677725148138 0.214551166621969 0.217397363360183 0.316328291252085 0.220568661503163 0.151743997289782 0.231194316003158 0.158476382811623 0.318899484133187 0.217122662755379
"her" 0.315930244038163 0.18004654612414 0.194152110975426 0.110593159872521 0.239005736137667 0.40081291633736 0.794033175444415 0.254779510363588 0.250843111569442 0.152412722148732 1.16749274278398 0.13621670454385 0.324235930980038 0.180915516661057 0.187587931843051 0.106828969706769
"when" 0.385937514023892 0.314058463977903 0.346455180362509 0.285996289777862 0.278670517879663 0.299198374167325 0.330377869688456 0.295007854105207 0.309373170935645 0.419853913843676 0.330852992254744 0.232909391188967 0.312958159467689 0.208964433972849 0.443958105361888 0.226361925000289
"them" 0.464920075033433 0.373391984859722 0.296373540428918 0.25864529325025 0.214596639681054 0.239923224568138 0.201480443256975 0.229876249952109 0.181164469466819 0.31345257951343 0.163525042148897 0.221616814646472 0.19736100146611 0.537136766520812 0.35329060497108 0.289881852934043
"if" 0.363499286464364 0.202040868519987 0.24835005008164 0.285401702896827 0.335625076278426 0.334481201309699 0.371049387737224 0.461668135320486 0.31216031661975 0.460113878184851 0.346064624082548 0.185621726917268 0.341152588248562 0.157073936946034 0.503360950445521 0.217700116645686
"she" 0.446071963883429 0.124804992199688 0.164651966904955 0.093944727203539 0.291892111793662 0.534887659478379 0.725204452592653 0.256695145779855 0.133782992837036 0.117904181284868 1.20425418636784 0.0501108084073232 0.312958159467689 0.071524739145069 0.137564483351571 0.0710268285077437
"their" 0.137321952664315 0.368277026163014 0.259326847875304 0.25745611948818 0.177982994996135 0.270972112453427 0.20398330590613 0.226044979119574 0.253630257253547 0.169666992580664 0.143242866378491 0.378301314173595 0.171986015563325 0.54414899584876 0.156323276535876 0.338965433610126
"about" 0.377859752102462 0.271604306795223 0.236687202425872 0.241996860581268 0.295960294536431 0.234277972225358 0.261549146836694 0.231791885368377 0.231333091780707 0.267441191694945 0.301697364584786 0.188444871052892 0.284763730686816 0.168293503870751 0.293887759887447 0.203263769388014
"my" 0.374269635692937 0.190787959387228 0.402711269055035 0.325833610807211 0.634636507871934 0.149599187083663 0.222129060112504 0.298839124937742 0.100337244627777 0.0833956404210042 0.112819602722882 0.0959869006112107 0.307319273711515 0.183720408392236 0.622166640612787 0.0508159423470036
"me" 0.679429530502527 0.162655686555331 0.366350626363524 0.269942443989916 0.472926243846874 0.29778706108163 0.240900529981166 0.222213708287039 0.0836143705231472 0.0316328291252085 0.152116318278043 0.0776364637296557 0.129694372392015 0.179513070795467 0.312646553071752 0.0548581195791516
"said" 0.440686789269142 0.193345438735582 0.277164144290007 0.236645578651953 0.345795533135348 0.502427458507395 0.366043662438915 0.124516302057392 0.114272973048301 0.112152757807557 0.436066779063724 0.0734017475262199 0.118416600879666 0.0575002804891731 0.190714397373769 0.0606326584822202
"then" 0.536722403223925 0.203063860259328 0.287454892221567 0.303239309327879 0.300028477279199 0.433273117308344 0.227134785410814 0.0842879583157733 0.103124390311882 0.138034163455455 0.181271945948002 0.0854001101026213 0.126874929513928 0.116403006843936 0.0781616382679381 0.107406423597076
"could" 0.272848847123868 0.226592670264188 0.214733606838545 0.2645911620606 0.208494365566901 0.255447668510782 0.252789127564652 0.222213708287039 0.284288859778701 0.347961120377293 0.301697364584786 0.146097709018534 0.231194316003158 0.182317962526646 0.162576207597311 0.0923926224490974
"who" 0.0529542170404875 0.193345438735582 0.157105418421811 0.165889739808781 0.17086367519629 0.0973806029129502 0.201480443256975 0.385042718669783 0.287076005462806 0.310576867774774 0.277612280857429 0.313368999054247 0.242472087515507 0.308538090429709 0.246990776926684 0.265628789541155
"what" 0.378757281204843 0.160609703076648 0.204442858906985 0.161727631641535 0.23086937065213 0.282262617138986 0.292209214288843 0.30841730201908 0.172803032414504 0.198424109967217 0.330852992254744 0.0995158307807405 0.245291530393594 0.141647032424548 0.275128966703142 0.146095834247635
"into" 0.122063957923836 0.165724661773356 0.205814958631193 0.175403129905342 0.158659126967983 0.196172518911595 0.210866178191306 0.293092218688939 0.29543744251512 0.273192615172255 0.185074853904953 0.271727623053795 0.315777602345776 0.130427465499832 0.268876035641707 0.273713144005451
"been" 0.122063957923836 0.183115521342165 0.230512753666937 0.190267801931218 0.184085269110288 0.21169696285424 0.232140510709124 0.224129343703306 0.128208701468826 0.158164145626042 0.292823912685233 0.211030024137882 0.279124844930642 0.214574217435207 0.246990776926684 0.193447053252798
"more" 0.181300878680991 0.168793636991381 0.160535667732331 0.162322218522571 0.188153451853057 0.198995145082985 0.207737599879863 0.302670395770277 0.189525906519134 0.166791280842008 0.278879916843079 0.18703329898508 0.256569301905943 0.215976663300797 0.225105518211662 0.183052883227274
"its" 0.0152579947404795 0.254213447226414 0.190721861664906 0.180159824953622 0.135267076197063 0.10867110759851 0.156428915572186 0.183900999961687 0.29543744251512 0.123655604762179 0.14197523039284 0.393828606919526 0.242472087515507 0.0701222932794794 0.106299828044396 0.261586612309007
"time" 0.286311783659585 0.179023554384798 0.237373252287976 0.201564952670884 0.24002278182336 0.265326860110647 0.198351864945531 0.103444312478449 0.108698681680091 0.172542704319319 0.1762014020054 0.132687774374321 0.16634712980715 0.196342421182542 0.156323276535876 0.140321295344567
"some" 0.182198407783372 0.179023554384798 0.188663712078594 0.170646434857061 0.150522761482446 0.163712317940612 0.204609021568419 0.162829010382744 0.125421555784721 0.161039857364698 0.187610125876253 0.206795307934447 0.205819330100372 0.230001121956692 0.190714397373769 0.230981556122744
"our" 0.0942405557500202 0.227615662003529 0.102907479315597 0.244969794986443 0.169846629510598 0.0268149486282037 0.0982373589793326 0.325658020765488 0.365116084617743 0.0575142347731063 0.0329585356269094 0.272433409087701 0.304499830833427 0.23701335128464 0.128185086759418 0.294501484056498
"do" 0.351831408133409 0.178000562645457 0.176314814560722 0.15280882842601 0.256295512794435 0.258270294682172 0.235894804682856 0.239454427033447 0.0780400791549374 0.232932650831081 0.24465374523052 0.0797538218313736 0.149430472538626 0.0350611466397397 0.347037673909645 0.107983877487383
"any" 0.143604656380983 0.230684637221554 0.139268122007107 0.180159824953622 0.205443228509825 0.169357570283392 0.198351864945531 0.295007854105207 0.225758800412498 0.204175533444528 0.193948305804505 0.14327456488291 0.149430472538626 0.176708179064288 0.190714397373769 0.142631110905794
"now" 0.236947683028622 0.142195851768497 0.261384997461616 0.148052133377729 0.20340913713844 0.402224229423055 0.280946332367645 0.107275583310984 0.133782992837036 0.0977741991142808 0.148313410321092 0.11363155145886 0.124055486635841 0.109390777515988 0.100046896982961 0.122420224745054
"down" 0.419146090811995 0.176466075036444 0.227768554218521 0.238429339295058 0.191204588910134 0.232866659139664 0.131400289080636 0.0900348645645761 0.14214442988935 0.1351584517168 0.10521378680898 0.112925765424954 0.200180444344198 0.0546953887579939 0.134438017820854 0.136856572002726
"like" 0.237845212131003 0.19794890156262 0.113198227247156 0.167673500451886 0.148488670111061 0.172180196454782 0.161434640870496 0.237538791617179 0.178377323782714 0.255938344740323 0.149581046306743 0.148920853154158 0.19736100146611 0.0869516436665545 0.225105518211662 0.228671740561516
"upon" 0.000897529102381145 0.229661645482213 0.135837872696588 0.130809113827713 0.196289817338595 0.207463023597155 0.192094708322644 0.145588291636336 0.225758800412498 0.138034163455455 0.110284330751581 0.309134282850811 0.16634712980715 0.196342421182542 0.128185086759418 0.179588159885433
"has" 0.0484665715285818 0.170839620470065 0.208559158079609 0.10583646482424 0.179000040681827 0.0296375747995935 0.138908877028101 0.369717635339642 0.197887343571448 0.189796974751251 0.0900021549811756 0.21667631240913 0.250930416149769 0.047683159430046 0.325152415194622 0.297388753508032
"see" 0.428121381835806 0.150891281552901 0.122802925316612 0.120106549969081 0.127130710711525 0.196172518911595 0.181457542063735 0.157082104133941 0.181164469466819 0.149537010410076 0.183807217919302 0.148215067120252 0.118416600879666 0.0687198474138898 0.153196811005159 0.146673288137942
"little" 0.18040334957861 0.135034909593105 0.115256376833468 0.136754982638063 0.122045482283064 0.201817771254375 0.208363315542151 0.187732270794222 0.14771872125756 0.27606832691091 0.300429728599135 0.141157206781192 0.152249915416714 0.10097610232245 0.156323276535876 0.145518380357328
"did" 0.137321952664315 0.158052223728293 0.148872820076563 0.163511392284641 0.153573898539522 0.21169696285424 0.212117609515884 0.160913374966476 0.172803032414504 0.235808362569736 0.254794833115722 0.0973984726790226 0.112777715123492 0.180915516661057 0.175082069720181 0.0669846512755956
"than" 0.0771875028047784 0.156517736119281 0.130349473799756 0.131998287589783 0.103738659940605 0.0931466636558654 0.141411739677256 0.285429677023869 0.181164469466819 0.22718122735377 0.207892301646659 0.175034936408678 0.183263787075674 0.224391338494334 0.187587931843051 0.168039082079296
"will" 0.0529542170404875 0.184138513081507 0.202384709320673 0.144484612091519 0.268500061022741 0.10302585525573 0.245906255279476 0.164744645799012 0.15886730399398 0.0977741991142808 0.157186862220645 0.0825769659669974 0.0845832863426187 0.0617076180859419 0.312646553071752 0.115490778061372
"man" 0.182198407783372 0.135034909593105 0.18111716359545 0.21048375588641 0.198323908709979 0.0719769673704415 0.207737599879863 0.220298072870771 0.156080158309875 0.0862713521596595 0.125495962579386 0.0734017475262199 0.180444344197587 0.113598115112757 0.215726121619509 0.0958573457909386
"over" 0.254000735973864 0.15600624024961 0.139954171869211 0.156970936593255 0.131198893454294 0.189115953483121 0.110125956562819 0.113022489559787 0.156080158309875 0.195548398228562 0.134369414478938 0.167977076069619 0.146611029660539 0.071524739145069 0.128185086759418 0.151870373150704
"two" 0.168735471247655 0.159586711337306 0.192780011251218 0.214645864053656 0.138318213254139 0.163712317940612 0.117634544510284 0.0555534270717597 0.125421555784721 0.132282739978145 0.0532407113973151 0.135510918509945 0.0535694146836585 0.154269045214855 0.0812881037986556 0.183630337117581
"these" 0.0646220953714424 0.228638653742871 0.158477518146019 0.113566094277696 0.118994345225988 0.0677430281133567 0.103243084277643 0.0613003333205624 0.200674489255553 0.0948984873756255 0.119157782651134 0.196914303459763 0.124055486635841 0.168293503870751 0.121932155697983 0.241953180038574
"only" 0.105908434080975 0.150379785683231 0.11731452641978 0.148052133377729 0.122045482283064 0.148187873997968 0.148920327624721 0.147503927052603 0.16444159536219 0.1351584517168 0.169863222077148 0.168682862103525 0.174805458441412 0.13603724896219 0.181335000781616 0.192869599362491
"us" 0.153477476507176 0.236311091787934 0.0644886870377739 0.138538743281168 0.11085797974045 0.0733882804561364 0.0569401252682756 0.136010114554998 0.30101173388333 0.00862713521596595 0.0101410878852029 0.208206880002259 0.126874929513928 0.106585885784809 0.100046896982961 0.274868051786065
"never" 0.175915704066704 0.141684355898826 0.126919224489236 0.15518717595015 0.201375045767056 0.184882014226036 0.17895467941458 0.218382437454504 0.0975500989436718 0.209926956921838 0.117890146665484 0.0515223804751352 0.129694372392015 0.0673174015483002 0.206346725027357 0.106828969706769
"well" 0.373372106590556 0.109971611979233 0.13103552366186 0.10940398611045 0.148488670111061 0.241334537653833 0.199603296270109 0.143672656220068 0.108698681680091 0.0805199286823489 0.133101778493288 0.0705786033905961 0.0733055148302695 0.10237854818804 0.121932155697983 0.0681395590562094
"other" 0.130141719845266 0.16828214112171 0.17425666497441 0.15994387099843 0.167812538139213 0.146776560912273 0.10950024090053 0.101528677062182 0.0808272248390423 0.169666992580664 0.125495962579386 0.120689411797919 0.0902221720987933 0.162683720408392 0.109426293575113 0.108561331377689
"go" 0.247718032257196 0.129919950896397 0.120058725868196 0.115944441801836 0.138318213254139 0.1947612058259 0.168943228817961 0.0938661353971112 0.200674489255553 0.155288433887387 0.166060314120197 0.0614033849498186 0.087402729220706 0.0631100639515315 0.143817414413006 0.121842770854747
"good" 0.245922974052434 0.116109562415284 0.12760527435134 0.0915663796793987 0.159676172653676 0.143953934740883 0.175826101103137 0.195394812459293 0.108698681680091 0.175418416057974 0.162257406163246 0.0614033849498186 0.0902221720987933 0.1346348030966 0.150070345474441 0.0975897074618592
"very" 0.0897529102381145 0.163167182425002 0.116628476557676 0.130214526946677 0.121028436597372 0.110082420684205 0.168317513155672 0.180069729129152 0.0975500989436718 0.244435497785702 0.157186862220645 0.105162119051988 0.0986805007330551 0.0589027263547627 0.115679224636548 0.144363472576715
"old" 0.231562508414335 0.183115521342165 0.12760527435134 0.111187746753556 0.149505715796754 0.134074743141018 0.0988630746416213 0.11876939580859 0.105911535995987 0.112152757807557 0.091269790966826 0.116454695594484 0.152249915416714 0.0617076180859419 0.059402845083633 0.132814394770578
"day" 0.0915479684428768 0.115598066545613 0.138582072145004 0.170051847976026 0.138318213254139 0.0959692898272553 0.150171758949298 0.132178843722463 0.150505866941665 0.212802668660493 0.149581046306743 0.0995158307807405 0.10431938648923 0.0967687647256816 0.125058621228701 0.136279118112419
"here" 0.166940413042893 0.17390859568809 0.141326271593419 0.0767017076535223 0.106789796997681 0.149599187083663 0.122014554146305 0.0536377916554921 0.15886730399398 0.0373842526025191 0.077325795124672 0.163742359866183 0.087402729220706 0.0532929428924044 0.0875410348600907 0.192292145472184
"before" 0.146297243688127 0.135034909593105 0.144070471041835 0.119511963088046 0.137301167568447 0.142542621655188 0.113254534874262 0.120685031224857 0.105911535995987 0.126531316500834 0.128031234550686 0.105867905085894 0.112777715123492 0.140244586558959 0.0875410348600907 0.129927125319043
"know" 0.230664979311954 0.0982072069768037 0.1207447757303 0.0885934452742235 0.140352304625524 0.184882014226036 0.185837551699757 0.166660281215279 0.0975500989436718 0.0977741991142808 0.197751213761456 0.071990175458408 0.0845832863426187 0.0406709301020981 0.190714397373769 0.0773788213011191
"great" 0.00897529102381145 0.157029231988952 0.11045402779874 0.110593159872521 0.118994345225988 0.0959692898272553 0.11450596619884 0.147503927052603 0.144931575573455 0.232932650831081 0.114087238708532 0.133393560408227 0.0761249577083568 0.197744867048132 0.125058621228701 0.153025280931318
"long" 0.141809598176221 0.145776322856193 0.107023778488221 0.131998287589783 0.0945852487693747 0.141131308569493 0.103868799939931 0.0823723228995058 0.108698681680091 0.169666992580664 0.0963403349094274 0.138334062645568 0.0930416149768806 0.0799394143386065 0.0687822416757855 0.157067458163466
"got" 0.559160630783453 0.0746783969719444 0.161221717594435 0.132592874470818 0.151539807168138 0.248391103082308 0.107623093913664 0.0402283437416191 0.0445943309456785 0.0920227756369701 0.0722552511820706 0.0119983625764013 0.0620277433179204 0.0518904970268148 0.0562763795529154 0.0184785244898195
"made" 0.156170063814319 0.116621058284954 0.113198227247156 0.137944156400133 0.0986534315121435 0.121372925369764 0.131400289080636 0.0727941458181679 0.111485827364196 0.117904181284868 0.130566506521987 0.0924579704416809 0.140972143904364 0.220184000897565 0.0750351727372206 0.0895053529975631
"after" 0.126551603435741 0.112529091327588 0.135151822834484 0.15280882842601 0.131198893454294 0.132663430055323 0.125768848120037 0.0919504999808436 0.0724657877867276 0.166791280842008 0.107749058780281 0.10304476095027 0.0986805007330551 0.162683720408392 0.150070345474441 0.0744915518495848
"come" 0.356319053645314 0.0583105291424772 0.11731452641978 0.0761071207724873 0.10170456856922 0.182059388054646 0.141411739677256 0.0862035937320409 0.0836143705231472 0.106401334330247 0.131834142507638 0.0649323151193484 0.087402729220706 0.0575002804891731 0.193840862904486 0.122997678635361
